Event_ID,area_wui,percent_wui,wui_status
AL3023008791019970518,100.776900189878,0.39832766873469566,wui
AL3026908763820110625,192.71254761955555,0.5152741914961378,wui
AL3034808781020141129,0,0,non_wui
AL3038308812219980404,256.4931203235981,0.8999758607845546,wui
AL3039808817220190514,0,0,non_wui
AL3040308827519960214,17.32414963971954,0.043418921402805864,wui
AL3041008828620070325,203.91096498781326,0.1643118170731775,wui
AL3041008830120050916,0,0,non_wui
AL3041108816119991115,6.336195250278425,0.030316723685542703,wui
AL3041708839520000921,0,0,non_wui
AL3042808816220200512,19.243904081426592,0.05050893459692019,wui
AL3043608742120030529,15.772207200979606,0.03050717060150794,wui
AL3048208745720060303,365.8638927899917,0.5698814529439123,wui
AL3053908745520110605,0,0,non_wui
AL3065208838220060314,43.40386252143352,0.08189408022911984,wui
AL3067008767720060317,0,0,non_wui
AL3067108774220050312,0,0,non_wui
AL3070008762319960226,0,0,non_wui
AL3079508762219960321,0,0,non_wui
AL3087908809720060314,6.068856594620189,0.011259474201521687,wui
AL3093408811420060302,1.256650671361084,0.004504124270111412,wui
AL3102808803820060304,10.783555017334177,0.035945183391113925,wui
AL3105008828820020216,3.820508034853603,0.01776980481327257,wui
AL3105808635220190927,0,0,non_wui
AL3106008682320000917,0,0,non_wui
AL3108608779820190704,0,0,non_wui
AL3109408765820010218,0,0,non_wui
AL3117408626420040416,0,0,non_wui
AL3117708803020000514,37.686615186221665,0.1082948712247749,wui
AL3122808810119940306,0,0,non_wui
AL3125608689620000715,0,0,non_wui
AL3129908825620050219,0,0,non_wui
AL3130008806519940315,23.195512339512327,0.052837157948775235,wui
AL3144008811320050308,0,0,non_wui
AL3148108808620050218,0,0,non_wui
AL3169408733120000829,0,0,non_wui
AL3195908573720060405,0,0,non_wui
AL3222308526820060412,0,0,non_wui
AL3225508573520110304,22.728505666109747,0.06704573942805235,wui
AL3229208545020020216,51.46894211245809,0.1727145708471748,wui
AL3231808587220040407,0,0,non_wui
AL3258008831520070521,0,0,non_wui
AL3273208714919871107,0,0,non_wui
AL3277108700519871107,0,0,non_wui
AL3277908693520190402,0,0,non_wui
AL3285808730320050120,0,0,non_wui
AL3290908527020210419,0,0,non_wui
AL3311108808220210226,0,0,non_wui
AL3313108633919931203,4.7184483295548345,0.014699215979921602,wui
AL3317108611720161113,0,0,non_wui
AL3319808636020050620,0,0,non_wui
AL3326608609720161012,0,0,non_wui
AL3337208592120161029,0,0,non_wui
AL3337908583420070818,0,0,non_wui
AL3339608584320160320,0,0,non_wui
AL3339808709920110604,0,0,non_wui
AL3341708585019981204,0,0,non_wui
AL3342008734220000916,0,0,non_wui
AL3345008723319990916,0,0,non_wui
AL3345508578420211119,0,0,non_wui
AL3346508586820161128,5.941229972693801,0.01169533459191693,wui
AL3355908570719960324,1.699324177580047,0.00717014420919851,wui
AL3356008702619950801,0,0,non_wui
AL3369008589020140202,0,0,non_wui
AL3369308590820160925,0,0,non_wui
AL3369408692819940316,0,0,non_wui
AL3369408721319990911,0,0,non_wui
AL3377308564120120131,0,0,non_wui
AL3377408616120070610,3.903731634869368,0.012715738224330189,wui
